f,k,variation
0.005,0.04,3.28627450980391
0.005,0.0403,3.4745098039215563
0.005,0.0405,4.831372549019591
0.005,0.0408,3.1294117647058712
0.005,0.041,3.8117647058823394
0.005,0.0413,3.4666666666666544
0.005,0.0415,1.0823529411764667
0.005,0.0418,0.0
0.005,0.042,2.345098039215678
0.005,0.0423,3.152941176470577
0.005,0.0425,539.2313725490196
0.005,0.0428,385.28235294117644
0.005,0.043,410.5921568627451
0.005,0.0433,409.3607843137255
0.005,0.0435,346.2549019607843
0.005,0.0438,498.08235294117645
0.005,0.044,236.61176470588234
0.005,0.0442,0.9725490196078397
0.005,0.0445,335.33333333333337
0.005,0.0447,2.0627450980392084
0.005,0.045,1.1529411764705841
0.005,0.0452,1.2313725490196035
0.005,0.0455,0.9019607843137223
0.005,0.0457,2.3803921568627366
0.005,0.046,1.1333333333333293
0.005,0.0462,1.2549019607843093
0.005,0.0465,2.4274509803921482
0.005,0.0467,1.7882352941176407
0.005,0.047,3.0666666666666558
0.005,0.0473,2.8549019607843036
0.005,0.0475,3.160784313725479
0.005,0.0478,1.3725490196078383
0.005,0.048,1.392156862745093
0.005,0.0483,1.286274509803917
0.005,0.0485,1.3607843137254854
0.005,0.0488,1.4392156862745047
0.005,0.049,1.399999999999995
0.005,0.0493,1.278431372549015
0.005,0.0495,1.5882352941176414
0.005,0.0498,1.2156862745097996
0.005,0.05,1.86666666666666
0.005,0.0503,1.4980392156862692
0.005,0.0505,1.3568627450980344
0.005,0.0508,1.4941176470588182
0.005,0.051,1.8352941176470523
0.005,0.0513,1.6666666666666607
0.005,0.0515,1.180392156862741
0.005,0.0518,1.4941176470588182
0.005,0.052,1.6588235294117588
0.005,0.0522,1.3372549019607796
0.005,0.0525,1.4392156862745047
0.005,0.0527,1.7764705882352878
0.005,0.053,1.3607843137254854
0.005,0.0532,1.1450980392156822
0.005,0.0535,1.7098039215686214
0.005,0.0537,1.3098039215686228
0.005,0.054,1.4862745098039163
0.005,0.0542,1.2313725490196035
0.005,0.0545,1.5450980392156808
0.005,0.0548,1.5529411764705827
0.005,0.055,1.396078431372544
0.005,0.0553,1.3019607843137209
0.005,0.0555,1.8156862745097975
0.005,0.0558,1.3647058823529363
0.005,0.056,1.294117647058819
0.005,0.0563,1.3882352941176421
0.005,0.0565,1.3803921568627402
0.005,0.0568,1.3764705882352892
0.005,0.057,1.4745098039215634
0.005,0.0573,1.29803921568627
0.005,0.0575,1.74509803921568
0.005,0.0578,1.992156862745091
0.005,0.058,1.286274509803917
0.005,0.0583,1.513725490196073
0.005,0.0585,1.3490196078431325
0.005,0.0588,1.3098039215686228
0.005,0.059,1.5686274509803866
0.005,0.0593,1.513725490196073
0.005,0.0595,1.5686274509803866
0.005,0.0598,1.2078431372548977
0.005,0.06,1.3254901960784267
0.005,0.0602,1.3254901960784267
0.005,0.0605,1.17647058823529
0.005,0.0607,1.286274509803917
0.005,0.061,1.1921568627450938
0.005,0.0612,2.3843137254901876
0.005,0.0615,1.627450980392151
0.005,0.0617,2.0196078431372477
0.005,0.062,1.1215686274509764
0.005,0.0622,1.1058823529411725
0.005,0.0625,1.290196078431368
0.005,0.0628,1.6784313725490136
0.005,0.063,1.4313725490196028
0.005,0.0633,1.627450980392151
0.005,0.0635,1.282352941176466
0.005,0.0638,1.4745098039215634
0.005,0.064,1.3450980392156815
0.005,0.0643,1.0980392156862706
0.005,0.0645,1.4352941176470537
0.005,0.0648,1.5882352941176414
0.005,0.065,1.4470588235294066
0.005,0.0653,1.2666666666666622
0.005,0.0655,1.286274509803917
0.005,0.0658,1.3176470588235247
0.005,0.066,1.415686274509799
0.005,0.0663,1.7137254901960723
0.005,0.0665,1.399999999999995
0.005,0.0668,2.082352941176463
0.005,0.067,1.7254901960784252
0.005,0.0673,1.1921568627450938
0.005,0.0675,1.513725490196073
0.005,0.0678,1.3411764705882305
0.005,0.068,1.392156862745093
0.005,0.0683,1.286274509803917
0.005,0.0685,1.9411764705882284
0.005,0.0688,1.5803921568627395
0.005,0.069,1.3411764705882305
0.005,0.0693,1.4549019607843086
0.005,0.0695,1.180392156862741
0.005,0.0698,1.3607843137254854
0.0055,0.04,0.7529411764705856
0.0055,0.0403,3.1137254901960674
0.0055,0.0405,1.7019607843137194
0.0055,0.0408,3.145098039215675
0.0055,0.041,2.79999999999999
0.0055,0.0413,4.2666666666666515
0.0055,0.0415,1.2235294117647015
0.0055,0.0418,3.294117647058812
0.0055,0.042,146.7058823529412
0.0055,0.0423,322.9764705882353
0.0055,0.0425,417.3176470588235
0.0055,0.0428,4.023529411764692
0.0055,0.043,2.564705882352932
0.0055,0.0433,395.38039215686274
0.0055,0.0435,615.9921568627451
0.0055,0.0438,483.4156862745098
0.0055,0.044,474.1803921568628
0.0055,0.0442,370.8039215686274
0.0055,0.0445,460.11764705882354
0.0055,0.0447,358.44705882352946
0.0055,0.045,315.47843137254904
0.0055,0.0452,256.4313725490196
0.0055,0.0455,1.278431372549015
0.0055,0.0457,1.3647058823529363
0.0055,0.046,1.4745098039215634
0.0055,0.0462,1.5725490196078376
0.0055,0.0465,1.999999999999993
0.0055,0.0467,1.9294117647058755
0.0055,0.047,2.0470588235294045
0.0055,0.0473,1.5999999999999943
0.0055,0.0475,1.1333333333333293
0.0055,0.0478,1.3137254901960738
0.0055,0.048,1.5764705882352885
0.0055,0.0483,1.4666666666666615
0.0055,0.0485,1.6588235294117588
0.0055,0.0488,1.4705882352941124
0.0055,0.049,1.86666666666666
0.0055,0.0493,1.3490196078431325
0.0055,0.0495,1.5843137254901904
0.0055,0.0498,1.521568627450975
0.0055,0.05,1.7137254901960723
0.0055,0.0503,1.278431372549015
0.0055,0.0505,1.4823529411764653
0.0055,0.0508,1.8862745098039149
0.0055,0.051,1.517647058823524
0.0055,0.0513,1.2470588235294073
0.0055,0.0515,1.639215686274504
0.0055,0.0518,1.5764705882352885
0.0055,0.052,1.5882352941176414
0.0055,0.0522,1.411764705882348
0.0055,0.0525,1.4862745098039163
0.0055,0.0527,1.8901960784313658
0.0055,0.053,1.8274509803921504
